merchant_id,name,category,region,commission_rate,establishment_date
M00001,BookHaven 1,Books,Bretagne,0.0682,20220821
M00002,BookCorner 2,Books,Nouvelle-Aquitaine,0.0615,20230330
M00003,VitalShop 3,Health,Ile-de-France,0.0173,20190910
M00004,CarParts 4,Automotive,Ile-de-France,0.0902,20220116
M00005,HealthHub 5,Health,Nouvelle-Aquitaine,0.0413,20190512
M00006,HomeStyle 6,Home & Garden,Grand Est,0.0751,20221005
M00007,BookHaven 7,Books,Occitanie,0.0889,20200324
M00008,SportHub 8,Sports,Pays de la Loire,0.0432,20170412
M00009,VitalShop 9,Health,Nouvelle-Aquitaine,0.0627,20180107
M00010,HealthShop 10,Health,Occitanie,0.0775,20211009
M00011,FitnessShop 11,Sports,Normandie,0.0333,20210619
M00012,PlayShop 12,Toys,Occitanie,0.0123,20221003
M00013,ClothingHub 13,Clothing,Bretagne,0.0571,20170720
M00014,ReadMore 14,Books,Ile-de-France,0.0896,20220410
M00015,ReadMore 15,Books,Provence-Alpes-Côte d'Azur,0.0964,20220407
M00016,GlowShop 16,Beauty,Nouvelle-Aquitaine,0.0998,20230412
M00017,BeautyCorner 17,Beauty,Occitanie,0.0365,20210705
M00018,CarParts 18,Automotive,Ile-de-France,0.0894,20170516
M00019,VitalShop 19,Health,Normandie,0.0334,20210114
M00020,VitalShop 20,Health,Provence-Alpes-Côte d'Azur,0.0547,20220926
M00021,KidsWorld 21,Toys,Auvergne-Rhône-Alpes,0.0925,20200403
M00022,ReadMore 22,Books,Auvergne-Rhône-Alpes,0.093,20221012
M00023,GourmetShop 23,Food,Bretagne,0.0684,20220517
M00024,HealthHub 24,Health,Auvergne-Rhône-Alpes,0.0871,20180131
M00025,GourmetShop 25,Food,Ile-de-France,0.0506,20170227
M00026,BeautyWorld 26,Beauty,Auvergne-Rhône-Alpes,0.0659,20190326
M00027,GlowShop 27,Beauty,Ile-de-France,0.0382,20210103
M00028,FitnessShop 28,Sports,Hauts-de-France,0.0526,20180707
M00029,FreshMarket 29,Food,Nouvelle-Aquitaine,0.0244,20171212
M00030,FreshMarket 30,Food,Nouvelle-Aquitaine,0.0827,20220911
M00031,CosmeticHub 31,Beauty,Ile-de-France,0.0196,20210321
M00032,LibraryShop 32,Books,Grand Est,0.0941,20201122
M00033,DigitalHub 33,Electronics,,0.0715,20220922
M00034,HealthHub 34,Health,Occitanie,0.052,20180513
M00035,ActiveWear 35,Sports,Hauts-de-France,0.0286,20180923
M00036,SportHub 36,Sports,Hauts-de-France,0.0711,20220223
M00037,ReadMore 37,Books,Auvergne-Rhône-Alpes,0.0929,20170520
M00038,DigitalHub 38,Electronics,Pays de la Loire,-0.05,20220125
M00039,HealthShop 39,Health,Grand Est,0.0297,20180613
M00040,CosmeticHub 40,Beauty,Grand Est,0.0267,20181019
M00041,AutoCenter 41,Automotive,Nouvelle-Aquitaine,0.0171,20221224
M00042,AutoShop 42,Automotive,Ile-de-France,0.0518,20201110
M00043,ToyHub 43,Toys,Ile-de-France,0.0567,20220331
M00044,HealthShop 44,Health,Pays de la Loire,0.0817,20221130
M00045,BookCorner 45,Books,Ile-de-France,0.0184,20190806
M00046,HealthHub 46,Health,Hauts-de-France,0.085,20210730
M00047,FoodMart 47,Food,Pays de la Loire,0.0417,20201212
M00048,ActiveWear 48,Sports,,0.0352,20180326
M00049,ActiveWear 49,Sports,Auvergne-Rhône-Alpes,0.0341,20230524
M00050,CosmeticHub 50,Beauty,Provence-Alpes-Côte d'Azur,0.0187,20180220
M00051,ToyLand 51,Toys,Grand Est,0.0783,20180311
M00052,FoodMart 52,Food,Auvergne-Rhône-Alpes,0.0629,20220907
M00053,BookHaven 53,Books,Ile-de-France,0.0331,20200712
M00054,ElectroWorld 54,Electronics,Nouvelle-Aquitaine,0.0114,20191119
M00055,BookCorner 55,Books,Auvergne-Rhône-Alpes,0.0184,20170405
M00056,GlowShop 56,Beauty,Provence-Alpes-Côte d'Azur,0.0647,20200714
M00057,SportZone 57,Sports,Auvergne-Rhône-Alpes,0.0294,20210714
M00058,VitalShop 58,Health,Grand Est,0.0875,20180505
M00059,AutoCenter 59,Automotive,Bretagne,0.0421,20200410
M00060,KidsWorld 60,Toys,,0.0361,20200227
M00061,BookHaven 61,Books,Auvergne-Rhône-Alpes,0.0913,20210903
M00062,GlowShop 62,Beauty,Hauts-de-France,0.075,20190320
M00063,BookCorner 63,Books,Ile-de-France,0.0213,20180518
M00064,HomeCenter 64,Home & Garden,Nouvelle-Aquitaine,0.0214,20170428
M00065,PlayShop 65,Toys,Auvergne-Rhône-Alpes,0.0479,20210325
M00066,ClothingHub 66,Clothing,Hauts-de-France,0.0695,20190122
M00067,BeautyCorner 67,Beauty,Provence-Alpes-Côte d'Azur,0.0305,20191111
M00068,GadgetShop 68,Electronics,Occitanie,0.0337,20230126
M00069,DecorShop 69,Home & Garden,Pays de la Loire,0.0598,20180102
M00070,GlowShop 70,Beauty,Grand Est,0.0779,20201027
M00071,GardenWorld 71,Home & Garden,Grand Est,0.0319,20170216
M00072,TechStore 72,Electronics,Pays de la Loire,0.0935,20220915
M00073,ToyHub 73,Toys,Hauts-de-France,0.0348,20190811
M00074,StyleShop 74,Clothing,Occitanie,0.0512,20210110
M00075,HealthHub 75,Health,Ile-de-France,0.0469,20190209
M00076,HealthShop 76,Health,Pays de la Loire,0.0852,20201222
M00077,KidsWorld 77,Toys,Ile-de-France,0.0436,20181208
M00078,AutoShop 78,Automotive,Bretagne,0.0117,20180217
M00079,StyleShop 79,Clothing,Ile-de-France,0.0454,20230604
M00080,CosmeticHub 80,Beauty,Ile-de-France,0.0228,20220915
M00081,ToyHub 81,Toys,Auvergne-Rhône-Alpes,0.0137,20230221
M00082,ActiveWear 82,Sports,Normandie,0.0366,20181027
M00083,MotorHub 83,Automotive,Bretagne,0.027,20180703
M00084,ElectroWorld 84,Electronics,Nouvelle-Aquitaine,0.0795,20210928
M00085,CosmeticHub 85,Beauty,Ile-de-France,0.0383,20221016
M00086,FoodHub 86,Food,Normandie,0.0563,20170427
M00087,GadgetShop 87,Electronics,Nouvelle-Aquitaine,0.0295,20170918
M00088,FoodHub 88,Food,Ile-de-France,0.0394,20180603
M00089,LibraryShop 89,Books,Auvergne-Rhône-Alpes,0.0371,20210411
M00090,BookHaven 90,Books,Normandie,0.0209,20220428
M00091,CosmeticHub 91,Beauty,Grand Est,0.051,20210109
M00092,SportHub 92,Sports,Ile-de-France,0.0978,20171205
M00093,HealthHub 93,Health,Provence-Alpes-Côte d'Azur,0.0303,20191223
M00094,HomeStyle 94,Home & Garden,Hauts-de-France,0.039,20220905
M00095,VitalShop 95,Health,Ile-de-France,0.0826,20200708
M00096,StyleShop 96,Clothing,Nouvelle-Aquitaine,0.0823,20201205
M00097,ToyLand 97,Toys,Occitanie,0.061,20180925
M00098,GourmetShop 98,Food,Nouvelle-Aquitaine,0.0206,20200102
M00099,AutoCenter 99,Automotive,Ile-de-France,0.0664,20191216
M00100,StyleShop 100,Clothing,Hauts-de-France,0.0211,20180811
M00101,AutoCenter 101,Automotive,Nouvelle-Aquitaine,0.0595,20210702
M00102,HomeStyle 102,Home & Garden,Ile-de-France,0.079,20201011
M00103,WellnessStore 103,Health,Nouvelle-Aquitaine,0.0397,20211005
M00104,ToyLand 104,Toys,Auvergne-Rhône-Alpes,0.0732,20170213
M00105,FreshMarket 105,Food,Grand Est,0.0473,20230630
M00106,VitalShop 106,Health,Ile-de-France,0.0782,20201019
M00107,BookHaven 107,Books,Ile-de-France,0.0288,20200830
M00108,HealthHub 108,Health,Ile-de-France,0.0723,20210222
M00109,BeautyWorld 109,Beauty,Ile-de-France,0.0975,20180127
M00110,WellnessStore 110,Health,Provence-Alpes-Côte d'Azur,0.0176,20181201
M00111,ToyLand 111,Toys,Ile-de-France,0.0945,20180319
M00112,TechStore 112,Electronics,Provence-Alpes-Côte d'Azur,0.099,20230304
M00113,HealthHub 113,Health,Nouvelle-Aquitaine,0.0646,20201108
M00114,AutoCenter 114,Automotive,Pays de la Loire,0.0133,20200901
M00115,WellnessStore 115,Health,Occitanie,0.043,20170331
M00116,WellnessStore 116,Health,Auvergne-Rhône-Alpes,0.0858,20210214
M00117,ToyHub 117,Toys,Hauts-de-France,0.0833,20190614
M00118,BookHaven 118,Books,Hauts-de-France,0.0868,20220531
M00119,GlowShop 119,Beauty,Auvergne-Rhône-Alpes,0.0406,20220627
M00120,FoodMart 120,Food,Pays de la Loire,0.0257,20230422
M00121,AutoCenter 121,Automotive,Normandie,1.5,20180312
M00122,ElectroWorld 122,Electronics,Auvergne-Rhône-Alpes,0.0557,20190914
M00123,CosmeticHub 123,Beauty,Auvergne-Rhône-Alpes,0.0875,20221006
M00124,WellnessStore 124,Health,Grand Est,0.0871,20230409
M00125,HomeStyle 125,Home & Garden,Hauts-de-France,0.0585,20221222
M00126,FoodHub 126,Food,Ile-de-France,0.0834,20180813
M00127,SportZone 127,Sports,Auvergne-Rhône-Alpes,0.0369,20170522
M00128,FoodHub 128,Food,Bretagne,0.0724,20200101
M00129,GourmetShop 129,Food,Auvergne-Rhône-Alpes,0.0148,20181121
M00130,FoodHub 130,Food,Grand Est,0.0541,20210823
M00131,BeautyWorld 131,Beauty,Auvergne-Rhône-Alpes,0.0428,20200516
M00132,BeautyWorld 132,Beauty,,0.0466,20220323
M00133,DecorShop 133,Home & Garden,Ile-de-France,0.0107,20220913
M00134,BookHaven 134,Books,Nouvelle-Aquitaine,0.0125,20191120
M00135,CosmeticHub 135,Beauty,Nouvelle-Aquitaine,0.049,20180104
M00136,FoodHub 136,Food,Grand Est,0.0545,20190710
M00137,DecorShop 137,Home & Garden,Bretagne,0.048,20230104
M00138,PlayShop 138,Toys,Provence-Alpes-Côte d'Azur,0.0972,20210127
