transaction_id,user_id,product_id,merchant_id,amount,timestamp,location,payment_method,category
TX0000001,U11694,P05202,M00309,221.8,20250715190809,Paris,CARD,Home & Garden
TX0000002,U04467,P01834,M00499,1331.2,20250206181126,Paris,CARD,Electronics
TX0000003,U03980,P05085,M00357,907.6,20250516200523,Strasbourg,CASH,Electronics
TX0000004,U05012,P05129,M00561,761.61,20250125080219,Paris,CARD,Home & Garden
TX0000005,U07575,P05608,M00052,33.81,20250105144409,Paris,CARD,Food
TX0000006,U10193,P05475,M00319,57.14,20250305115321,Saint-Etienne,CARD,Books
TX0000007,U07905,P05726,M00581,429.3,20250427111517,Grenoble,CARD,Sports
TX0000008,U10082,P01031,M00553,442.99,20250222151456,Toulouse,CARD,Clothing
TX0000009,U05943,P04130,M00158,6292.49,20251116202440,Nice,CASH,Electronics
TX0000010,U03012,P04610,M00106,166.28,20251121194800,Toulouse,BANK_TRANSFER,Health
TX0000011,U03346,P04236,M00419,915.25,20240529213152,Nice,CRYPTO,Automotive
TX0000012,U11407,P05131,M00509,112.26,20251020164954,Marseille,CARD,Beauty
TX0000013,U07699,P04784,M00523,99.31,20240808133647,Strasbourg,CARD,Beauty
TX0000014,U03216,P02873,M00524,38.42,20240529201627,Strasbourg,PAYPAL,Food
TX0000015,U11928,P00094,M00222,59.73,20240213092906,Dijon,CARD,Beauty
TX0000016,U09353,P05143,M00522,202.24,20250221215843,Marseille,CASH,Home & Garden
TX0000017,U08121,P01276,M00058,81.9,20250823202917,Paris,PAYPAL,Health
TX0000018,U01335,P00632,M00383,257.31,20250214144222,Le Havre,PAYPAL,Sports
TX0000019,U03919,P02766,M00381,36.07,20240131102823,Nice,CRYPTO,Food
TX0000020,U04687,P04873,M00576,89.06,20240903175109,Strasbourg,CARD,Books
TX0000021,U11123,P02848,M00140,124.7,20250526095210,Le Havre,PAYPAL,Clothing
TX0000022,U00844,P00358,M00030,79.79,20250219210245,Paris,BANK_TRANSFER,Food
TX0000023,U05450,P00614,M00430,6.43,20250220155950,Paris,CASH,Toys
TX0000024,U01382,P00457,M00445,55.91,20250207214000,Montpellier,CRYPTO,Food
TX0000025,U01671,P02851,M00522,311.42,20250729101532,Paris,CARD,Home & Garden
TX0000026,U04055,P00939,M00559,2376.86,20251020174557,Lyon,CASH,Electronics
TX0000027,U05888,P03483,M00407,1019.02,20241210222856,Strasbourg,CASH,Automotive
TX0000028,U00987,P00487,M00142,117.01,20250116085025,Strasbourg,CARD,Toys
TX0000029,U09621,P02381,M00145,73.82,20250209171957,Le Havre,CASH,Food
